modul,price,score
  15.6    ThinkBook 15-i3 8G 256G 1T -  ,21990000,
  15.6    ThinkBook 15-KK,21990000,
  15.6    IdeaPad 3 15ITL6-i5 8GB 1HDD 128SSD MX350 -  ,21980000,4.4
  15.6    IdeaPad 3 - JB,21930000,3.5
  15.6    IdeaPad 3 15ITL6-i5 16GB 1HDD MX350 -  ,21800000,
  15.6    V15-i5 8GB 512GB MX350,21790000,3
  15.6    IdeaPad 3 15ITL6-i5 8GB 1HDD 256SSD MX350 -  ,21750000,4.4
  15.6    IdeaPad 3 15IAU7 i5 8 512,21750000,4.5
  15.6    IdeaPad 3 15IAU7-i5 8GB 512SSD,22290000,4.5
  15.6    IdeaPad 3 15ITL6-i5 12GB 1HDD MX350,21550000,4.1
  15    Ideapad V130 - AR,21490000,3.2
  15.6    IdeaPad 3 15ITL6-i5 8GB 512SSD MX350,21600000,3.2
  15.6    ThinkBook 15 G2 ITL- i3 12GB 1TB256GB mx450 -  ,21290000,4
  15.6    IdeaPad 3 15IAU7-i3 12GB 1HDD 1SSD -  ,21200000,
  15.6    ideapad 3 15ITL6,21200000,4
  15.6    V15 G2 ITL-i5 8GB 256GB MX350,21190000,3.3
  15.6    IdeaPad 3 15ITL6-i5 8GB 512GB 2GB -  ,21400000,4.4
  15.6    ThinkBook 15-i3 8G 256G -  ,20950000,
  15.6    IdeaPad 3 15ITL6-i5 8GB 512SSD MX350,20900000,3
  15.6    Thinkbook 15 G2 ITL-i3 12GB 1HDD 1SSD -  ,20900000,5
  15    Ideapad 3 - AA,20900000,5
  15.6    IdeaPad 3 15ITL6-i5 8GB 1HDD MX350,20790000,4
  15.6    ThinkBook 15 G2 ITL- i3 8GB 1TB128GB mx450 -  ,20590000,
  15.6    ThinkBook 15 G2 ITL-i3 8GB 1SSD -  ,20500000,
  15.6    V15-i3 8GB 1HDD 256SSD MX350 -  ,20400000,
  15.6    THINKBOOK 15 G2 ITL-AC,20380000,2.5
  15.6    V15-i3 12GB 1HDD 256SSD MX350,20260000,4.6
  15.6    V15-i3 12GB 1HDD 256SSD MX350 -  ,20210000,
  15.6    V15 G2 ITL-i3 12GB 1HDD 128SSD MX350,20150000,5
  15.6    IdeaPad 3 15ALC6-R5 12GB 256GB 1T -  ,20090000,4.6
  15.6    IdeaPad Slim 3 15IAN8-i3 8GB 1SSD -  ,20030000,
  15.6    IdeaPad 3 15IAU7-i3 12GB 1HDD 512SSD -  ,20000000,
  15.6    ThinkBook 15 G2 ITL - A,19990000,4.3
  15.6    IdeaPad 3-15ADA05-81W1-R3 12GB 1HDD 256SSD -  ,19970000,
  15.6    IdeaPad 3 15IAU7-i3 8GB 1HDD 512SSD -  ,19900000,
  15.6    IdeaPad 3 15ALC6-R5 8GB 256GB 1T -  ,19899000,5
  15.6    IdeaPad 3 15ALC6-R5 12GB 128GB 1T -  ,19899000,
  15.6    IdeaPad 3 15ALC6-R5 8GB 128GB 1T -  ,19699000,
  15.6    Thinkbook 15 G2 ITL i3 8GB 512SSD MX450 2 -  ,19590000,
  15.6    V15 G2 ITL-i3 8GB 1HDD 128SSD MX350 -  ,19580000,
  15.6    V15 G2 ITL-i3 12GB 512SSD MX350 -  ,19500000,4.5
  15.6    IdeaPad 3 15IAU7-i3 12GB 1HDD 256SSD -  ,19450000,
  15.6    V15 G2 ITL-i3 8GB 1HDD 256SSD MX350 -  ,19390000,3
  15.6    IdeaPad 3 15IAU7-i3 12GB 1HDD 128SSD -  ,19350000,
  15.6    IdeaPad 3 15IAU7-i3 4GB 1HDD 512SSD -  ,19350000,
  15.6    V15 G2 ITL-i3 12GB 512SSD MX350 -  ,19320000,
  15.6    V15 G2ITL-i3-4-256-1 -  ,19250000,
  15.6    ThinkBook 15-FX,19200000,4.2
  15.6    IdeaPad 3 15IAU7-i3 8GB 1HDD 256SSD -  ,19200000,
  15.6    Thinkbook 15 G2 ITL-i3 12GB 1HDD 256SSD -  ,19150000,
  15.6    IdeaPad 3 15ALC6-R5 8GB 1T,19099000,5
  15.6    ThinkBook 15-i3 12GB 1HDD -  ,19099000,3.4
  15.6    ThinkBook 15 G2ITL-i3 12GB 256GB 1T -  ,19050000,1
  15.6    V15 G2 ITL-i3 12GB 1SSD MX350 -  ,18980000,
  15.6    IdeaPad 3 15IAU7-i3 8GB 1HDD 128SSD -  ,18900000,
  15.6    IdeaPad 3 15ALC6-R5 4GB 1HDD Radeon,18699000,
  15.6    IdeaPad 3 15IAU7-i3 4GB 1HDD 256SSD -  ,18650000,
  15.6    THINKBOOK 15 G2 ITL-AB -  ,18620000,3
  15.6    Thinkbook 15 G2 ITL-i3 8GB 1SSD -  ,18500000,
  15.6    V15 I3 4GB 256SSD MX350,18443720,
  15.6    IdeaPad 3 15IAU7-i3 4GB 1HDD 128SSD -  ,18400000,
  15.6    ThinkBook 15 G2 ITL-i3,18390000,2.8
  15.6    V15-R,18370000,5
